No	단지	구분	품목	규격
149	타워	기계	V 벨트	B-84/DONGIL
150	타워	기계	V 벨트	B-113/DONGIL
151	타워	기계	V 벨트	B-120/DONGIL
152	타워	기계	V 벨트	B-101/MITUBOSHI
153	타워	기계	V 벨트	B-101/DONGIL
154	타워	기계	V 벨트	R4B/DONGIL
155	타워	기계	V 벨트	W-1118/Continental
156	타워	기계	V 벨트	B-126/DONGIL
157	타워	기계	V 벨트	B-107/DONGIL
158	타워	기계	V 벨트	D16S 12/MITUBOSHI
159	타워	기계	V 벨트	A28/DONGIL
160	타워	기계	V 벨트	B-115/DONGIL
161	타워	기계	대변기 세척벨브	FC110CS(세트)
162	타워	기계	대변기 푸쉬버튼
163	타워	기계	대변기 피스톤
164	타워	기계	레벨스위치	KFS-PC8
165	타워	기계	멀티 조인트 커플링	80A
166	타워	기계	멀티 조인트 커플링	100A
167	타워	기계	멀티 조인트 커플링	40A,18kgf
168	타워	기계	멀티 조인트 커플링	40A,16kgf
169	타워	기계	멀티 조인트 커플링	40A,20kgf
170	타워	기계	배관 테이프	회색
171	타워	기계	배관 테이프	파랑
172	타워	기계	배관 테이프	노랑
173	타워	기계	버터플라이 벨브	80A
174	타워	기계	변거커버 볼트&너트
175	타워	기계	볼벨브	40A
176	타워	기계	볼벨브	32A
177	타워	기계	볼벨브	20A
178	타워	기계	세면대 트랩
179	타워	기계	세면대 폼업대
180	타워	기계	세면용 수전	MA-1720
181	타워	기계	세면용 수전	DLYL6A10CA1
182	타워	기계	소변기 센서	FU-5117/512T/구형
183	타워	기계	소변기 솔벨브	MLV-6(구형)
184	타워	기계	소변기마개
185	타워	기계	수도꼭지
186	타워	기계	열선
187	타워	기계	오뚜기센서(플로트스위치)	투라인레벨 (세트)
188	타워	기계	오뚜기센서(플로트스위치)	SOODUK(수덕)
189	타워	기계	오뚜기센서(플로트스위치)	일신센서
190	타워	기계	원격 온수미터
191	타워	기계	자동문 체인
192	타워	기계	체크벨브	10K/80A
193	타워	기계	화장실 문 경첩
194	타워	기계	화장실 문 손잡이	os-230
195	타워	기계	화장실 문 옷걸이
234	타워	영선	3m장갑 슈퍼그립200	m
235	타워	영선	opp테이프/투명	48*38m
236	타워	영선	PVC 본드
237	타워	영선	VCTF 2.5*3C	M
238	타워	영선	WD-40
239	타워	영선	걸고리
240	타워	영선	검전기(특고압)	AC80-30KV
241	타워	영선	고도 급결 방수제
242	타워	영선	그리스
243	타워	영선	넝마집게/환경집게	700mm
244	타워	영선	덕트 테이프
245	타워	영선	도로반사경	800mm
246	타워	영선	도료용 희석제
247	타워	영선	도어스토퍼
248	타워	영선	드라이버비트bw212	2*65mm
249	타워	영선	락카	검정
250	타워	영선	락카	백색
251	타워	영선	락카신너(일반용)
252	타워	영선	롤러(로라)	대
253	타워	영선	롤러(로라)	중
254	타워	영선	롤러(로라)	소
255	타워	영선	마스킹테이프	48*40m
256	타워	영선	미끄럼방지 테이프
257	타워	영선	반사 테이프	노랑
258	타워	영선	반사 테이프	형광
259	타워	영선	반코팅 장갑
260	타워	영선	방화문 도어락 손잡이	9000 BALL
261	타워	영선	번호키 도어락	G707S GateTop
262	타워	영선	번호키 도어락 걸쇠
263	타워	영선	스티커 제거제
264	타워	영선	실리콘	투명/무초산형
265	타워	영선	실리콘	백색/비초산형
266	타워	영선	실리콘	백색/일반건축용씰링
267	타워	영선	실리콘	회색/무초산형
268	타워	영선	실리콘	회색/건축용1액형우레탄실란트
269	타워	영선	실리콘	검정/FixAll(틈새충진용)
270	타워	영선	안전 제일 테이프
271	타워	영선	에니탄 I DAU-508 흑색(주제)
272	타워	영선	에니탄(경화제)(무황변)
273	타워	영선	에니탄(주제)(황색)
274	타워	영선	에니탄2740(경화제)
275	타워	영선	에폭시 만능 프라이머(경화제)
276	타워	영선	에폭시 만능 프라이머(주제)(백색)
277	타워	영선	오일스탠	투명
278	타워	영선	우레탄 신너
279	타워	영선	우레탄 폼 클리너
280	타워	영선	우레판 폼
281	타워	영선	주차장 기둥 보호대
282	타워	영선	청테이프	48mm*7m
283	타워	영선	카 스토퍼
284	타워	영선	커터칼	18mm
285	타워	영선	탄력봉
286	타워	영선	테프론테이프	12.7mm*0.075*10m
287	타워	영선	텍스	12mm/ 300mm x 600mm
288	타워	영선	텍스	9.5mm/ 300mm x 600mm
289	타워	영선	페인트	백색
290	타워	영선	페인트 붓	2''
291	타워	영선	페인트 붓	3''
292	타워	영선	페인트 붓	4''
293	타워	영선	페인트풋	1 1/2''
294	타워	영선	페인트풋	1/2''
295	타워	영선	플로어 힌지	K8500
296	타워	영선	플로어 힌지	K-9700
368	랜드	기계	소변기자동세척기	그린컨트롤
369	랜드	기계	수도꼭지	20A
370	랜드	소방	화재감지기	차동식스포트형
371	랜드	영선	목공용톱날	330mm
372	랜드	영선	문빗장	화장실용
373	랜드	영선	문손잡이	화장실용
374	랜드	영선	물비누공급기
375	랜드	영선	슈퍼그립200 장갑	대
376	랜드	영선	슈퍼그립201 장갑	중
377	랜드	영선	장대톱날	340mm
378	랜드	전기	2구 스위치
379	랜드	전기	8핀타이머	용성
380	랜드	전기	8핀타이머	오토닉스
381	랜드	전기	LED램프	150W
382	랜드	전기	건전지	AAA
383	랜드	전기	건전지	AA
384	랜드	전기	노출스위치박스
385	랜드	전기	누전차단기	20A
386	랜드	전기	누전차단기	30A
387	랜드	전기	누전차단기	40A
388	랜드	전기	누전차단기	75A
389	랜드	전기	릴레이	5A
390	랜드	전기	맹커버
391	랜드	전기	메탈핼라이드램프	250W
392	랜드	전기	안정기	250W
393	랜드	전기	전구	화장실용
394	랜드	전기	전력용콘덴서	40KV
395	랜드	전기	전자접촉기	MC-12b
396	랜드	전기	전자접촉기	MC-22b
397	랜드	전기	타이머	SMT-30A
398	랜드	전기	푸쉬버튼스위치	DLL-1110
399	랜드	전기	플로트스위치	1m
400	랜드	전기	하이박스	150*200
